Bot,maxIPOSpending,BuyRisk,SellRisk,PrefRanks,IPOcsv,LIVEcsv,EventID,AvgEarnings
bot_28,0,0.25,0.1,"[0, 1]",False,False,evt_11e77bcdb4362e13,450.696
bot_29,0,0.25,0.1,"[1, 2]",True,True,evt_11e77bcdb4362e13,420.808
bot_30,0,0.25,0.1,"[1, 2]",True,False,evt_11e77bcdb4362e13,461.312
bot_31,0,0.25,0.1,"[1, 2]",False,True,evt_11e77bcdb4362e13,387.864
bot_32,0,0.25,0.1,"[1, 2]",False,False,evt_11e77bcdb4362e13,477.1139999999999
bot_33,0,0.25,0.1,"[2, 3]",True,True,evt_11e77bcdb4362e13,382.768
bot_34,0,0.25,0.1,"[2, 3]",True,False,evt_11e77bcdb4362e13,456.4
bot_35,0,0.25,0.1,"[2, 3]",False,True,evt_11e77bcdb4362e13,391.566
bot_36,0,0.25,0.1,"[2, 3]",False,False,evt_11e77bcdb4362e13,484.534
bot_37,0,0.25,0.1,"[3, 4]",True,True,evt_11e77bcdb4362e13,388.724
bot_38,0,0.25,0.1,"[3, 4]",True,False,evt_11e77bcdb4362e13,457.9419999999999
bot_39,0,0.25,0.1,"[3, 4]",False,True,evt_11e77bcdb4362e13,375.25999999999993
bot_40,0,0.25,0.1,"[3, 4]",False,False,evt_11e77bcdb4362e13,421.65199999999993
bot_41,0,0.25,0.15,[],True,True,evt_11e77bcdb4362e13,413.88199999999995
bot_42,0,0.25,0.15,[],True,False,evt_11e77bcdb4362e13,424.338
bot_43,0,0.25,0.15,[],False,True,evt_11e77bcdb4362e13,410.62
bot_44,0,0.25,0.15,[],False,False,evt_11e77bcdb4362e13,403.46999999999997
bot_45,0,0.25,0.15,[0],True,True,evt_11e77bcdb4362e13,393.10799999999995
bot_46,0,0.25,0.15,[0],True,False,evt_11e77bcdb4362e13,430.5400000000001
bot_47,0,0.25,0.15,[0],False,True,evt_11e77bcdb4362e13,403.006
bot_48,0,0.25,0.15,[0],False,False,evt_11e77bcdb4362e13,395.854
bot_49,0,0.25,0.15,[1],True,True,evt_11e77bcdb4362e13,404.43999999999994
bot_50,0,0.25,0.15,[1],True,False,evt_11e77bcdb4362e13,455.648
bot_51,0,0.25,0.15,[1],False,True,evt_11e77bcdb4362e13,399.01399999999995
bot_52,0,0.25,0.15,[1],False,False,evt_11e77bcdb4362e13,422.65599999999995
bot_53,0,0.25,0.15,[2],True,True,evt_11e77bcdb4362e13,374.812
bot_54,0,0.25,0.15,[2],True,False,evt_11e77bcdb4362e13,428.98199999999997
bot_55,0,0.25,0.15,[2],False,True,evt_11e77bcdb4362e13,383.61799999999994
bot_56,0,0.25,0.15,[2],False,False,evt_11e77bcdb4362e13,408.822
bot_57,0,0.25,0.15,[3],True,True,evt_11e77bcdb4362e13,374.99199999999996
bot_58,0,0.25,0.15,[3],True,False,evt_11e77bcdb4362e13,423.062
bot_59,0,0.25,0.15,[3],False,True,evt_11e77bcdb4362e13,403.86599999999993
bot_60,0,0.25,0.15,[3],False,False,evt_11e77bcdb4362e13,440.4999999999999
bot_61,0,0.25,0.15,[4],True,True,evt_11e77bcdb4362e13,404.42199999999997
bot_62,0,0.25,0.15,[4],True,False,evt_11e77bcdb4362e13,408.32399999999996
bot_63,0,0.25,0.15,[4],False,True,evt_11e77bcdb4362e13,368.312
bot_64,0,0.25,0.15,[4],False,False,evt_11e77bcdb4362e13,405.33599999999996
bot_65,0,0.25,0.15,"[0, 1]",True,True,evt_11e77bcdb4362e13,414.986
bot_66,0,0.25,0.15,"[0, 1]",True,False,evt_11e77bcdb4362e13,398.902
bot_67,0,0.25,0.15,"[0, 1]",False,True,evt_11e77bcdb4362e13,407.194
bot_68,0,0.25,0.15,"[0, 1]",False,False,evt_11e77bcdb4362e13,438.93999999999994
bot_69,0,0.25,0.15,"[1, 2]",True,True,evt_11e77bcdb4362e13,390.24799999999993
bot_70,0,0.25,0.15,"[1, 2]",True,False,evt_11e77bcdb4362e13,452.282
bot_71,0,0.25,0.15,"[1, 2]",False,True,evt_11e77bcdb4362e13,412.608
bot_72,0,0.25,0.15,"[1, 2]",False,False,evt_11e77bcdb4362e13,438.078
bot_73,0,0.25,0.15,"[2, 3]",True,True,evt_11e77bcdb4362e13,400.35799999999995
bot_74,0,0.25,0.15,"[2, 3]",True,False,evt_11e77bcdb4362e13,440.31800000000004
bot_75,0,0.25,0.15,"[2, 3]",False,True,evt_11e77bcdb4362e13,387.7900000000001
bot_76,0,0.25,0.15,"[2, 3]",False,False,evt_11e77bcdb4362e13,425.28000000000003
bot_77,0,0.25,0.15,"[3, 4]",True,True,evt_11e77bcdb4362e13,400.888
bot_78,0,0.25,0.15,"[3, 4]",True,False,evt_11e77bcdb4362e13,412.354
bot_79,0,0.25,0.15,"[3, 4]",False,True,evt_11e77bcdb4362e13,388.608
bot_80,0,0.25,0.15,"[3, 4]",False,False,evt_11e77bcdb4362e13,433.648
bot_81,0,0.25,0.2,[],True,True,evt_11e77bcdb4362e13,400.52799999999996
